suspectname,idnumber,countrycode
GFSL Customer service,8541095224,91
CUSTOMER SERVICE,8122656395,91
MGSL Customer,9471427794,91
LENDING KART CUSTOMER CARE,7980502177,91
Customer Support Executive,8584090351,91
Mobikwik Customer Care,8996950000,91
Customer Care,7037049748,91
Customer care,9645363814,91
Customer service,8056441170,
customer care,9059554963,91
Customer Care,9024046478,91
MOBIKWIK CUSTOMER CARE,8069808320,91
Astha Customer Care,8432197316,
AVIVA CUSTOMER CARE,9456343280,91
PGIM Customer service,8873376254,91
SBI Customer care,6297645232,91
Yeah rupee customer care,8292839415,
CUSTOMBER CARE,8875050788,91
Flipkart customer service,9345746393,
Customer Care,8690575546,91
Customer Support Team,9601433679,91
Bygetcoin Customer Service,2137287327,
Senxax Online Customer Service,7429755382,44
Mobikwik Customer Service,8996994900,91
IIFL CUSTEMER CARE,7287825867,
IIFL CUSTEMER CARE,9007223328,
customer Care,8141714743,91
customer service,8079837295,91
etlasfud customer care,9601083367,91
MS VIP Customer,8923105332,
capula customer service,9133850957,91
BRANCHE CUSTOMERCARE,7762960968,91
Customer care service,9000550427,91
unknown fake courier customer care,9993915978,91
Custom Dept,8134101110,91
Customer service,9597764633,91
Care customer Prei,9257904487,
custemer care,9950858623,91
Aiamtop customer care,8922839035,91
Lazypay customer service,9892481259,1204
Customer Care,2134920355,1
Customer Care,2136497025,1
Customer Care,7741921714,44
Mobikwik Customer,8887776417,91
Customer care executive,7905351959,91
Zaif Customer Service,7040606439,
customer service,7044668509,91
Goldman Customer service,7893753595,91
Barclay Customer service,8141714743,91
Fin B2 Customer Service,7075634742,
customer care,8003976337,91
Rajat customer care,9558409014,91
Diraj customer care,9454604953,91
Customer Care Mobile,18004194919,91
From Google got the number as phone pay customer,9163353907,
Lady from Customs,9233859436,91
CUSTOMER SERVICE,7044221602,91
Customer Service,9559098849,91
Tempo Custa New,9692366998,91
Customer Care,7023718679,
Customer Care,8769327940,91
Customer Care,9521609769,91
FedEx Customer Care,8601285284,91
C815 Viking Customer Service Group,8401134356,
C815 Viking Customer Service Group,6200425853,
C815 Viking Customer Service Group,9508321412,
coindcx customer service,7292855695,91
Customer Support,9601927304,91
Customer Support,8137973502,91
Customer Support,7994233862,91
CXPartners customer service manager,9981375938,91
hdfc customer service,9756756656,91
customer care number,9811172486,91
HDFC Customer care,8982188556,91
customer care service,7762896336,91
Customer care service,9059352621,91
GOLD LOAN CUSTOMER CARE,9165798066,91
GOLD LOAN CUSTOMER CARE,8062807117,91
GOLD LOAN CUSTOMER CARE,8488344025,91
GOLD LOAN CUSTOMER CARE,9159135223,91
TRPH CUSTOMER SERVICE,8170021628,91
customer care,9313150751,91
INDIA CUSTOM OFFICE,7289001825,91
UNC Team Customer Service,85257973868,852
CUSTOMER CARE,9225159022,91
Customer care Centre,18003132110,91
Mobikwik Customer care,8896234900,91
mahanagarGasCustomerCare,8261977356,91
mahanagarGasCustomerCare,83006386622,91
mahanagarGasCustomerCare,7810987631,91
unknown person with caller name sbi customer care,8910658446,91
customer care of airtel,8927096149,91
Customer Care Manager,8142898138,
inter global resources customer care,9311668312,91
IIFL CUSTOMER CARE,9871956017,91
IIFL CUSTOMER CARE,8699947822,91
Mobikwik Customer care,8996600000,91
Mobikwik customer service,8996955999,91
Astha Security customer care,7630979586,91
upstox customer care,8107794476,91
Customer service 108,7028413573,91
Fedex customer care,9900631881,91
Custom Department call,8802846117,
Customer Service,7698787631,91
called through bank customercare no,8602677777,1
VIYAKA - CUSTOMER SERVICE,7879539457,
GFSL SECURITY CUSTOMER SERVICE,9663414510,91
FHI CUSTOMER SERVICE,9040489820,91
CUSTOM OFFICER IGI DELHI AIRPORT,8414686564,91
custoerservice,9342975162,91
Godraj appliance customer care,8170809409,91
uNKNOWN DELHI CUSTOMS NUMBER,8750870832,91
SENXAX JAMES SMITH CUSTOMER MANAGER,7846313394,44
SBI CUSTOMERCARE,2239020202,91
Customer care,204410824,1
Aurora customer care,67384569,852
Viyaka customer service,7476483782,
Custom Department,9730379027,91
BSA CUSTOMER SERVICE,7381247233,91
BSA CUSTOMER CARE,9439064929,91
banknift hub custmer care,9082185006,91
RBL BANK CUSTOMER CARE,2262327777,91
Customer Service,7797137604,91
Kotak Customer Service,9601168995,
Customer Staff,7058363733,91
Customer service hours,9718004697,91
Ekart customer care,7407009132,91
Customer care,8653890124,91
Customer support,8116873288,91
MOFSL Customer Service,9601741948,91
XtremeTrader Customer Care,7478146677,44
Customer Call,8792775134,91
Mobikwik customer care ivrs call,7605049108,
Fake MobiKwik customer care,9081464072,
Custom Officer,7085263037,91
Customer manager,8125166947,
AXIS BANK CUSTOMER CARE,8375021869,91
Custmer Care Service,7093408471,91
HDFC Bank Cust Care,9426792001,91
Mobikwik customer service,8030794488,91
TRPH CUSTOMER CARE,9821998915,91
AFSL Recharge Customer Service,9332652993,91
Upstox Securities Customer Helpline,9601836987,91
DAAI Customer Support,8968242264,91
Neranjan giri (Custom department new delhi),9999881189,91
Apollo customer services BD352,8837009362,91
Customer care manager,7696957762,
Bc parners customer,9347912716,91
DA customer service,8699682061,91
DA customer service 2,9032275401,91
HiBox Customer Support Number,8625057306,91
Customer service executive,9831260592,91
TELEGRAM CUSTOMER SUPPORT,9366878401,91
CUSTOMER SERVICE,9801830140,91
reliance finance customer,8981339211,91
IIFL customer,6033413114,91
IIFL customer,7644996458,91
IIFL customer care,8403816240,91
customer care,9561391493,91
customer care,9558010963,91
Airport Custom Department,8413073004,91
Shopper Approved Customer care,9720168893,91
Bajaj customer care,9179363347,91
Customer Care,8107794476,91
Customer Care,9521609769,91
upstox customer care,7400601597,
~Customer Service Manager,9632919623,91
customer care,9558010963,91
customer care,9561391493,91
customer service,3418109733,
Customercare,8439047498,91
Customer care,9007443373,91
Customer care,9891327793,
DA customer Service,8427486067,91
DA Customer care,9010782349,91
ONLINE CUSTOMER SERVICE,7003491905,91
CUSTOMER CARE,7024832849,91
Customer Care Service,9136542316,91
Customer care official number,9695918925,91
Mumbai custom department,9263881927,91
KBC Customer Care  Rajesh Sharma,9229107218,91
Delhi customs office,9999885588,91
Senxax Online Customer Service,7429755382,44
lade impersonating custom officer mumbai airport,7085962819,91
MNGL Customer Support Executive,7668375019,91
MNGL customer support Executive,9341269959,91
MNGL Customer Support Executive,9834864406,91
MNGL Customer Support Executive,9038385523,91
couriercustamar Service,7981379547,91
Customer Care,7473964053,44
Astha Customer Service,8456876285,91
FedEx ivr customer care,8105741066,91
PGIM Customer services,8873376254,91
FedEx Customer Agent,9751860579,91
DA AI Customer Care,9063736391,91
DA AI Customer Care,9041364431,91
DA AI Customer Care,8968012638,91
DA AI Customer care,9063736391,91
DA AI Customer care,9041364431,91
DA AI Customer Care,8968012638,91
HDFC securities customer care,8734950858,91
Customer care,8794084628,91
JXR Customer Care,8885543333,91
Myntra Customer Support as per true caller,8061461999,91
MS Customer service,8865857485,91
customer service,7463083756,91
GLOBE Customer Service T45,8008018407,91
GLOBE Customer Service T45,6356122057,91
Customer service support center,9329629405,91
customer service support center,9329629405,91
Online Customer Care,9470832150,91
Karan Birla  customer executive,8865083629,91
Customer Service representative,9878972463,
Customer Service Represntative,8420638152,
Customer Support Team,9123813316,91
person impersonating custom officer,7085962819,91
Customer care,9131074193,91
Fedex courier customer care,9580570155,91
customer care of indusind,8981786515,91
customer care,7810991781,
Fraud Mobikwik customer care,8047689021,91
AVIK (Customer service),9032606172,91
SBI CUSTOMER CARE NUMBER,9861552109,91
Customer Service,8139863166,91
Customer Service,8604656443,91
Datameer customer care,8968002628,91
CUSTOMER  CARE NUMBER,8109172255,91
Fedex Customer Care,9186539950,91
CUSTOMER SUPPORT,7736149342,91
DHL Customer Care,8808906452,91
AURORA Exchange Customer Service,52693195,852
AURORA Exchange Customer Service 2,51078030,852
ASTHA CUSTOMER CARE,8055309372,91
Customer service manager 5 Paisa Trading,9010745656,91
Riya Mehata (Customer Head),9734608487,
bkyhyoltd customer service,7778968869,44
AU Bank Customer care,9919165167,91
AU Bank Customer care,7408609276,91
AU Bank Customer care,9336566471,91
Urban clap customer care,8584024324,91
Urban clap customer care,9973187610,91
Groww security customer care,8054670654,91
HDFC CUSTOMER SUPPORT,9601121832,91
Customer Support,9601579431,91
Hibox customer support,8625057306,91
IIFL CUSTOMER CARE,9294582105,91
IIFL CUSTOMER CARE,8858861763,91
matlab customer care,9811259264,91
YouTube Customer Care,7583846233,
Customer care,1203238380,91
AXIS CUSTOMER CARE,8051336183,91
AXIS CUSTOMER CARE,8738864996,91
customer care mobile,8292052821,91
UNIONCUSTOMER SUPPORTHELPLINE,8002082244,91
upstox customer support,7400601597,91
SENXAX CUSTOMER MANAGER,7846313394,44
CUSTOMER CARE OF BARCLAY GROUP,7321993167,91
paytm customer support,7908261574,91
MESSHO CUSTOMER CARE,6294898240,91
datameer customercare,8968002628,91
HDFC CUSTOMER CARE,9540595867,91
IIFL CUSTOMER SERVICE,8146389168,91
PGIM Customer Service,7842890035,91
CUSTOMER SERVICES,7307550787,91
Customerr Caree,9641393690,91
IIFL customer service assistants,8544803014,91
OLA COMPANY CUSTMER CARE,8145651161,91
Customer Service,9831004309,91
Customer Service,9748389378,91
Customer Service Manager,7261872483,91
Official Customer Service,7501921566,91
Customer Care,8055923882,91
Customer Care2,8769694419,91
SBI YONO CUSTOMER CARE,7430947449,91
Customer Service Helpline Number,7973433034,91
DA Customer Services,9056293912,
TRAI customer service agency,9998676059,91
CUSTOMER SERVICE,9047579256,91
DHL customer care,9216252927,91
Agoda customer care,7980587653,91
Customer service BRP fund,9045209996,
Customer service representative BCF,8167393985,
CUSTOMER CARE,7865076523,91
Myntra Customer care,8061561999,91
Customer care,9761098429,91
custome,9922994344,91
customs officer,7328909090,91
Webull Customer Care,9174206743,1
Maala Customer Service,7286944120,91
DA Online customer service,9032275401,91
Flipkart customer support,9007835629,91
Data entry Customer care No,9263374323,91
Lazy pay customer care,9892481333,1
Uc customer service,7296081855,91
customer care,8482061081,91
AFSL recharge customer service,6294709504,
unknown call mobikwik ivr customer care,8100927428,91
Mobikwik customer care employee,8069802003,91
Mobikwik customer care employee,8069802006,91
Mobikwik customer care employees,8069802008,91
DA AI Customer Support,9041364431,91
DA AI Customer Support,9063736391,91
DA AI Customer Support,8968012638,91
MobiKwik Customer Care,8465219746,91
Hibox customer care,8625057309,91
customer care,9030072587,91
customer care 2,7398466743,91
Customer Manger,8792775134,91
PRIYA ASTHA SECURITIES CUSTMOR SERVIE,8456876285,91
barcleys SIL Customer service,8735852681,91
PGIM Customer Service,7478121607,91
Customer Service 2 - Amya,9348556913,91
CUSTOMER SERVICE,9908225703,
CUSTOMER SERVICE2,8827613800,
HDFC SECURITY CUSTUMER CARE,7058850719,
CUST CARE MUMBAI TELEPHONE AUTHORITY,8766019635,91
Kiran Bedi Customer Care,9040424487,91
customer care,8625057306,91
Customer Service Supoort,9831260592,91
da customer service,9052459010,91
Lawyer Panel Company Customers Care Number,8130376111,91
Mobikwik customer service,7735067139,91
MNGL Customer Care,9850071255,91
Customer support from hdfc,6287081045,91
SBI CREDIT CARD  CUSTOMER CARE,18601801290,91
Customer Service,9179356093,
Customer Service Executive,8439036274,91
customer support,8583008969,91
customer care service,9960673035,91
FedEx customer care,9829183011,91
CUSTOMER CARE GOLDMAN SACHS,7702972403,91
Vlebazaar Customer Care,9355516335,91
Mobikwik Myntra Customer care,8061561999,91
Customer care,9059554963,
Yotemo-Customer service Manager,6464083213,1
Online Customer Service,7429755382,44
Customer Service,7960286530,44
Hobit Customer support 1,8076258737,91
Hobit Customer Support 2,7048960391,91
Capula Customer Manager,9434571320,91
As fipcart Cust Care,7089101478,91
Customer service manager,9032584048,91
Customer Care,8291518061,91
Company customer service,9056293912,
customer care service person,8433757063,91
Mobikwik zip customer,8035067867,91
customer care from IIFL,7384530739,91
Unknown acted as a SBI Customer Care,7381128052,91
Kotak Customer Care,7719118120,91
Kotak Customer Care,9593711331,91
DA AI Customer care,8968012638,91
DA AI Customer care,9041364431,91
DA AI Customer care,9063736391,91
customer care 1,8523067694,91
Customer Care 2,8602382789,91
Hibox Customer care,8625057306,91
Customer care,7595953051,91
DA Customer Service,9056293912,91
DA Ai ( Customer Service),7416860271,91
Flipkart customer care,9463860409,91
Agoda customer Care,8116236534,91
Sumit Mishra so called custom officer,8670465868,91
State Bank of India Customer Call Center,18601801290,91
Apollo customer care,8121807424,91
AFFIRMA CUSTOMER SERVICE,9952835542,91
AFFIRMA CUSTOMER SERVICE,7681053263,91
AFFIRMA CUSTOMER SERVICE,7064617355,91
ICICI CUSTOMER CARE,7872458287,91
CUSTOMER SUPPORT,7702972403,
CUSTOMER SERVICE,8556959389,91
Customer care,1139020202,91
Customer care,7696073903,91
Customer Care,9645363814,91
CUstomer care,7037049748,91
Delhi custom police,9418070993,91
Customer service,6371436130,91
Customer service,8319112379,91
Customs,9827513656,91
PGIM CUSTOMER SERVICE,8873376254,91
pooja verma fraud sbi customer care,8601801290,1
FedEx customer care,9339894663,91
CUSTOMER SUPPORT,8420633272,91
Hibox Customer Support number,8625057306,91
Mobikwik customer care,8047689021,91
FedEx customer service,18892511418,91
IIFL Customer Service1066,8878273866,91
Customer Care,8346935374,91
Customer Service,7297086059,91
Customer Service,8890156067,91
Customer Service,8602482598,91
Customer Service,7425053047,91
80320 exclusive customer service,9823560864,
SBI securities customer care,8765611706,91
customer care,8093575850,91
One Card Customer Care,7029431148,91
IIFL Securities customer service,8146717989,91
BFL customer service,8269863509,91
Customs scam,8001238194,
Customs scam 2,80012348313,
HE CALLED AS A SBI CUSTOMER CARE,7980510042,91
Immediately customer service and support,9599125719,91
customer service,9601683673,91
IIFL CUSTOMER CARE,9294582105,91
IIFL CUSTOMER CARE,8858861763,91
Electricitybillupdatecustomercare,9091258105,91
customer care,9558223804,91
Custom,8937848134,91
CUSTOMER SERVICE GROWW SECURITIES,8168391250,91
Mumbai Custom department fraud call,8700701766,
Fedex customer care executive,9871636810,91
Customer Service Ravi,8141714743,
Customer Service,9763924720,91
Jio customer care,9330342102,
A1066 Customer care representative id,8878273866,
Acted as bajaj finance customer care,7811861023,91
Goldman Customer Support,9037729221,
Customer Manager,7028459508,91
Customer Manager,9971826381,91
Customer Care,7369060385,91
Customer care,8597313575,91
FedEx customer service,8662508060,91
customer care,9045209996,91
jaipur customer care,9171719259,91
AU SMALL FINANCE CUSTOMER CARE EXECUTIVE,8383838399,91
Moneyview customer care,8409850997,91
FedEx customer service,9746727542,91
Mobikwik customer care,6310768686,91
INDIA CUSTOM OFFICE,7289001825,91
indian bank customer care,8392078983,91
D78-Upstox Customer Service Department,9146949986,91
CUSTOMER CARE,9032978950,91
customer care app download,9903676144,91
Globe Customer Service,8141714894,91
Mastertrust Customer Service,9662480382,91
TP Customer Support,8439799710,91
FedEx verification customer care,9261610630,91
Delhi Custom Office lady,9233015348,91
SBI security customer care,6232699613,91
Customer care,8283923547,91
Customer Service Person,8544876935,91
Reshma customs officer,8130519253,91
Mumbai custom,9266850625,91
customer care whats app,67462517,852
Axis bank customer care,9170494808,91
Provex customer manager,8885022312,
Chris  Mckenni  Yotemo  Customer service Manager,6464083213,1
Customer care,7696073903,91
Customer Care,9645363814,91
Customer care,7037049748,91
Customer Care,8146057038,91
Customer support sajo,8509373080,91
Customer complaints court,9641123756,91
Customer support,8235056533,91
Vijay Sharma  DHL customer service,7538455700,91
customer service no,9454604953,91
Fake Call by Amazon Customer Care,9562838123,91
Customer care,9267906826,
PHONEPAY CUSTMER CARE,6294339146,91
Customs Department,9000018310,91
Customer service,7916607071,44
Man Group Customer Care,8003976337,91
CUSTOMER CARE EXEC,9257267118,91
customer service,8894261283,91
not shared but claimed to be from customs office,9999889002,91
CUSTOMER CARE,7070752963,91
godox credit loan customer support,9399881715,91
smifsmax customer service center,9175137888,91
DAAI Customer Care,9041364431,
FLIPKART CUSTOMER EXECUTIVE,9007835629,91
makemytrip Customer care toll free number,1244628747,91
Customer service representative,9635780657,91
Customer Service,7702972403,91
Hibox customer care number,8625057306,91
CUSTOMER CARE,8871538917,91
Oxgates Customer Service,7428915205,44
Customer care services,9708064062,91
Lazypay Customer Care,8067768499,91
GOLDMAN SACHS CUSTOMER SERVICE,7416076941,91
Mobikwik customer care,6346108851,91
Mobikwik customer care,80119442299,91
door to door  customes delivery  department,7628854841,91
Customer Service Representative,9981375938,91
Customer service,9863851356,91
Custom,8699041366,91
Customer care,8167302890,91
upstock customer care,7845516413,91
Customerservice experience,7584938458,
Shopsy app customer care,7563098188,91
DA customer service,8968024409,91
Hibox customer number,8625057306,91
GSAM Customer Manager,8125161534,91
IIFL Customer care,9558010963,
customer care,8079837295,91
Customer Care,7799717558,
Bitcoingmcom Premium customer service whatsapp nu,613138787,34
Bygetcoin Premium Customer service whatsapp numbe,616710303,31
Customer Support Team,8904934854,91
Customer support apk,8527076450,91
CUSTOMER CARE,7384530739,91
Customer Care,9665009953,91
customer sevice,3349509874,
Eltasfud customer care,8273176895,91
New Delhi Customs Department,8789038227,91
GOGEL PAY CUSTOMER CARE,7001860851,91
GOGEOL PAY CUSTOMER CARE,9264092640,91
CUSTOMER CARE,7476483782,44
Saraj Ghosh da Custom Office,7980859219,91
Globe Customer Service,8140581017,91
customer care Executive 108,9601859729,91
customer care Executive 106,9725963391,91
Man group customer service,7223061013,
Man group customer service,9630758171,
DA AI CUSTOMER SUPPORT,8968242264,91
CUSTOMERCAR SERVICE,7811924185,91
CUSTOMER CARE,12137287327,91
Paytmcustomercare Nitin Kumar Singh,9370690479,91
Policy bazaar customer care number,9163680988,91
Customer Care Swift Rupee,7811833430,91
Hibox customer service,8625057306,91
Customs office,6909074033,
mobikwik customer service,8887916870,91
mobikwik customer service,8887916870,91
PUNJABNATIONALBANKCUSTOMERSERVICE PNBCREDITCARD,7078283642,91
Terawulf customer service,9045068343,91
Customer Support,7389150900,91
Customer Fake,8438012395,91
RBI customer service,8906037537,
Iifl Customer service,7605892918,
Iifl securities customer service,7696330959,
Customer service,8982061810,
MUMBAI CUSTOMS,9922991117,91
Byjus customer care,7829007837,91
customer service,7696993080,91
TPG CUSTOMER SERVICE,9257977403,91
Fedex customer care,9297415347,91
FEDEX CUSTOMER CARE,9810130768,91
custom department,7827684697,91
Cryptocurrency customer service,31612695358,31
Customer Service Manager,9951365257,91
MOFSL Customer Service,9601741948,91
CTM CUSTOMER CARE,7797137604,91
BankCustomerCare Online service,8618986578,91
customer service,9597804448,91
Ekart customer care,7407009132,91
Customer support care,8116941368,91
Customer service manager,9601816745,91
customer service manager,9601939589,91
CUSTOMER SUPPORT,9598780327,91
Customer Service1,9365783864,
Cust care fruad,9289684604,91
Deepak Kumar Customer support app downloaded,9608570940,91
LISA CUSTOMER CARE,6232164372,91
customer care,6232699613,91
customer care,8962917373,91
As in Truecaller its Flipkart Customer Service,8582922133,91
Customer Care Number vlebazaar dot in,9355516335,91
Credit Card Customer Care,6295810398,91
Customer care executive,9125115219,91
Customer Service Guy,8734943134,91
Customer Service Guy,9470753301,91
TPG CUSTOMER CARE NO,9752478339,91
Customer No 1008,9611297179,91
Customer Care Number,7470883548,91
customer service,7657965436,91
customer service,8584968828,91
Customer Care,9558393684,91
Airtel Customer service,8260396381,91
flipkart customer care,8382891898,91
flipkart customer care,6301229414,91
CUSTOMER SERVICES,7307550787,91
Plex Customer Service,7773972739,91
Lucknow Customs,9342497159,91
IIFL PRO CUSTOMER SERVICE,9044047889,91
